product_id,product_title,product_description,product_category
P001,Heart-Shaped Pendant,Sterling silver necklace with a small heart charm; gift-boxed.,Apparel & Accessories
P002,Polka Dot Lingerie Set,Elegant and comfortable lace-trimmed sleepwear set.,Apparel & Accessories
P003,Luxury Silk Robe,High-quality 100% silk lounge robe for premium self-care.,Apparel & Accessories
P004,Leather Toiletry Bag,Genuine leather organizer for grooming and travel essentials.,Apparel & Accessories
P005,Commuter Backpack,Padded laptop compartment with water-resistant exterior.,Apparel & Accessories
P006,Silk Indian Sari,Traditional embroidered festive wear for Diwali.,Apparel & Accessories
P007,Skeleton Costume Set,Full-body glow-in-the-dark costume for parties.,Apparel & Accessories
P008,Kids' Rolling Backpack,Ergonomic bag with wheels for school needs.,Apparel & Accessories
P009,Sun Hat (Wide Brim),Foldable straw hat with UPF 50+ protection.,Apparel & Accessories
P010,Thermal Underwear Set,Moisture-wicking base layer for winter protection.,Apparel & Accessories
P011,All-Weather Parka,"Waterproof, insulated jacket for extreme cold.",Apparel & Accessories
P012,Leather Work Gloves,Reinforced palm and fingertips for heavy labor.,Apparel & Accessories
P013,Anti-Blue Light Glasses,Lightweight frames to reduce digital eye strain.,Apparel & Accessories
P014,Silk Necktie (Navy),100% mulberry silk tie for formal business wear.,Apparel & Accessories
P015,Canvas Tote Bag,Heavy-duty reusable bag for daily errands.,Apparel & Accessories
P016,Car Dash Camera 4K,Ultra-HD dash cam with night vision and G-sensor.,Automotive
P017,Dash Cam (Front & Rear),Dual-camera system for automotive category sale.,Automotive
P018,Brake Fluid (DOT 4),High-performance hydraulic fluid for disc brakes.,Automotive
P019,Tire Pressure Gauge,Simple pencil-style gauge for measuring PSI.,Automotive
P020,Wiper Blade (22-inch),Standard all-weather replacement windshield wiper.,Automotive
P021,Car Fuse Assortment,50-piece box of common automotive blade fuses.,Automotive
P022,Degreaser Spray,Heavy-duty industrial engine and part cleaner.,Automotive
P023,Microfiber Glass Cloth,Lint-free cleaning cloth for windows and mirrors.,Automotive
P024,Antifreeze/Coolant,1 Gallon pre-mixed 50/50 radiator fluid.,Automotive
P025,Funnel Set (3pc),Nested plastic funnels for automotive fluids.,Automotive
P026,Car Wash Sponge,Extra-large bone-shaped high-density foam.,Automotive
P027,Tire Shine Spray,Silicone-based dressing for rubber sidewalls.,Automotive
P028,Microfiber Wash Mitt,Padded glove for gentle exterior car washing.,Automotive
P029,Grease Gun (Manual),Lever-action tool for lubricating mechanical joints.,Automotive
P030,Motor Oil (5W-30),1 Quart synthetic blend engine lubricant.,Automotive
P031,Windshield Fluid Tablet,Dissolvable tablet for making washer fluid.,Automotive
P032,Scraper (Ice),Plastic blade with brush for winter car windows.,Automotive
P033,Upholstery Cleaner,Foam spray for car seats and floor mats.,Automotive
P034,Battery Terminal Cleaner,Wire brush tool for removing corrosion from terminals.,Automotive
P035,Torque Wrench,1/2-inch drive click-style adjustable wrench.,Automotive
P036,Wheel Cleaner Spray,Acid-free formula for removing brake dust.,Automotive
P037,Tire Plug Kit,Emergency repair tools for punctured tubeless tires.,Automotive
P038,Car Wax (Liquid),Protective polymer coating for exterior shine.,Automotive
P039,Plastic Rivet Kit,Assorted clips for interior car trim and panels.,Automotive
P040,Mechanics Gloves,Padded synthetic leather for hand protection.,Automotive
P041,Headlight Restore Kit,Sanding pads and polish for cloudy plastic lenses.,Automotive
P042,Fuel Stabilizer,Additive for keeping stored gasoline fresh.,Automotive
P043,Brake Cleaner,Fast-drying solvent for removing oil from rotors.,Automotive
P044,Air Filter (Engine),Paper element replacement for standard sedan.,Automotive
P045,Spark Plug (Single),Standard platinum-tipped ignition component.,Automotive
P046,Gas Can (1 Gallon),Red plastic container with spout for fuel.,Automotive
P047,Bungee Cord Set,6-pack of assorted lengths for securing cargo.,Automotive
P048,Jack Stands (2-Ton),Pair of steel support stands for car repair.,Automotive
P049,Oil Drain Pan,Low-profile plastic basin with pour spout.,Automotive
P050,Shop Towels (Roll),Heavy-duty blue paper towels for oil/grease.,Automotive
P051,Car Wax Applicator,Microfiber-wrapped foam pads for detailing.,Automotive
P052,Scratch Remover Pen,Clear coat filler for minor car paint scuffs.,Automotive
P053,Trailer Hitch Ball,2-inch chrome steel ball for towing.,Automotive
P054,Car Battery Charger,12V automatic maintainer for vehicle storage.,Automotive
P055,Seat Belt Extender,Universal buckle adapter for comfort.,Automotive
P056,Steering Wheel Cover,Black synthetic leather grip for sun protection.,Automotive
P057,Car Interior Dust Gel,Reusable sticky gel for cleaning dashboard vents.,Automotive
P058,Windshield Sunshade,Reflective silver accordion-style car window cover.,Automotive
P059,License Plate Frame,Simple black plastic frame with mounting screws.,Automotive
P060,OBD2 Scanner (Basic),Code reader for engine diagnostic lights.,Automotive
P061,Car Trash Bag (Hanging),Small leak-proof bin for back of seat.,Automotive
P062,Mirror Glue,High-strength adhesive for rearview mirrors.,Automotive
P063,Gas Cap (Universal),Replacement tethered fuel tank cap.,Automotive
P064,Car Air Freshener Tree,Single hanging pine-scented paper tree.,Automotive
P065,Blind Spot Mirror,2-pack of stick-on convex small mirrors.,Automotive
P066,Valve Stem Caps,4-pack of black plastic tire air caps.,Automotive
P067,Car Shammy Cloth,Large synthetic drying towel for streak-free car wash.,Automotive
P068,Luxury Chocolate Truffles,Box of 12 handcrafted artisanal dark and milk chocolates.,Consumables
P069,Red Wine (Premium),750ml bottle of full-bodied Cabernet Sauvignon for date nights.,Consumables
P070,Red Velvet Gift Box,Premium box of red velvet cupcakes with romantic message card.,Consumables
P071,Dried Fruit Gift Box,"Assorted premium dates, nuts, and dried tropical fruits.",Consumables
P072,All-Purpose Flour (5lb),Bleached white flour for general cooking.,Consumables
P073,Table Salt (26oz),Iodized granulated salt for everyday seasoning.,Consumables
P074,White Vinegar (1gal),Multipurpose liquid for cooking and cleaning.,Consumables
P075,Nespresso Pods (50pk),Assorted intensity espresso capsules for home brewing.,Consumables
P076,Organic Matcha Powder,Ceremonial grade green tea powder (100g).,Consumables
P077,Dried Mango Slices,"Unsweetened, sulfur-free organic fruit snacks.",Consumables
P078,Roasted Almonds (Salted),Family-sized bulk bag of heart-healthy nuts.,Consumables
P079,Sparkling Water (12pk),Lemon-flavored zero-calorie carbonated water.,Consumables
P080,Cold Brew Concentrate,"32oz bottle of smooth, low-acid coffee base.",Consumables
P081,Dark Chocolate Bars,70% cacao fair-trade chocolate bars (3pk).,Consumables
P082,Multivitamin Gummies,Daily nutritional support for adults (90ct).,Consumables
P083,Microfiber Mop System,360-degree spin mop with bucket and 2 refills.,Convenience & Essentials
P084,AA Alkaline Batteries (24pk),Bulk pack of long-lasting 1.5V alkaline cells.,Convenience & Essentials
P085,Extension Cord (3ft),Short single-outlet grounded extension wire.,Convenience & Essentials
P086,Rubber Bands (#33),1lb bag of standard size elastic rubber bands.,Convenience & Essentials
P087,Plastic Zip Ties (100pk),8-inch nylon cable ties for wire management.,Convenience & Essentials
P088,Super Glue (Gel),Small 5g tube of instant cyanoacrylate adhesive.,Convenience & Essentials
P089,Bubble Wrap Roll,12-inch wide perforated packing material for shipping.,Convenience & Essentials
P090,Trash Can (Small),5-gallon plastic bin for bathroom or office.,Convenience & Essentials
P091,Flashlight Batteries (D),2-pack of heavy-duty D-cell batteries.,Convenience & Essentials
P092,Masking Tape (1-inch),50-yard roll of general-purpose beige tape.,Convenience & Essentials
P093,Shipping Tape (Clear),2-inch wide strong adhesive for box sealing.,Convenience & Essentials
P094,Utility Scissors,8-inch stainless steel blades for cardboard/plastic.,Convenience & Essentials
P095,String (Cotton),200ft spool of thin white utility twine.,Convenience & Essentials
P096,Light Bulbs (60W LED),4-pack of warm white energy-efficient bulbs.,Convenience & Essentials
P097,Dish Scrub Sponge (3pk),Dual-sided scouring pads for heavy cleaning.,Convenience & Essentials
P098,Steel Wool (Fine),Pack of 12 pads for polishing and cleaning.,Convenience & Essentials
P099,Laundry Mesh Bag,Zippered bag for washing delicate clothing items.,Convenience & Essentials
P100,lint Roller,Adhesive sheets for removing hair from fabric.,Convenience & Essentials
P101,Matches (Strike Box),10-pack of wooden safety matchboxes.,Convenience & Essentials
P102,Dust Pan & Brush Set,Handheld plastic duo for small mess cleanup.,Convenience & Essentials
