product_id,product_name,rank,intent_id,intent_name,score,evidence,reason,ontology_version,labeling_run_id,model,created_at
P001,Heart-Shaped Pendant,1,IN_FA_02,Personal Accessories & Adornment,1.0,sterling silver necklace with a small heart charm,A necklace is a personal accessory used for adornment and style.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P001,Heart-Shaped Pendant,2,IN_GSO_01,Thoughtful & Personalized Gifts,0.9,gift-boxed,"The product is presented as a gift, indicating a gifting intent.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P001,Heart-Shaped Pendant,3,IN_BG_01,Cosmetics & Personal Style,0.8,heart-shaped pendant | sterling silver necklace,Jewelry contributes to enhancing personal style and appearance.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P001,Heart-Shaped Pendant,4,IN_PCH_01,Daily Hygiene & Grooming,0.5,sterling silver necklace,"Wearing a necklace contributes to one's personal appearance, which is part of self-care.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P001,Heart-Shaped Pendant,5,IN_WR_01,Personal Relaxation & Comfort,0.4,gift-boxed,Receiving a thoughtful gift can contribute to mental comfort and well-being.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P002,Polka Dot Lingerie Set,1,IN_FA_01,Apparel & Clothing,1.0,lingerie set | sleepwear set,Lingerie and sleepwear are categories of clothing items.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P002,Polka Dot Lingerie Set,2,IN_WR_01,Personal Relaxation & Comfort,0.9,comfortable lace-trimmed sleepwear set,Sleepwear is primarily designed for comfort and relaxation.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P002,Polka Dot Lingerie Set,3,IN_BG_01,Cosmetics & Personal Style,0.8,elegant and comfortable lace-trimmed sleepwear set,The elegant design and lace trim enhance personal style.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P002,Polka Dot Lingerie Set,4,IN_PCH_01,Daily Hygiene & Grooming,0.6,sleepwear set,"Sleepwear is part of a daily routine, contributing to personal well-being and care.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P002,Polka Dot Lingerie Set,5,IN_GSO_01,Thoughtful & Personalized Gifts,0.5,elegant,An elegant lingerie set can be purchased as a thoughtful gift.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P003,Luxury Silk Robe,1,IN_FA_01,Apparel & Clothing,1.0,luxury silk robe | lounge robe,A robe is a type of clothing worn for lounging.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P003,Luxury Silk Robe,2,IN_WR_01,Personal Relaxation & Comfort,1.0,lounge robe for premium self-care,"A lounge robe is designed for comfort, relaxation, and self-care routines.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P003,Luxury Silk Robe,3,IN_BG_01,Cosmetics & Personal Style,0.9,luxury silk robe,A luxury robe contributes to personal style and a sense of pampering.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P003,Luxury Silk Robe,4,IN_PCH_01,Daily Hygiene & Grooming,0.8,premium self-care,Self-care routines often involve items like robes for personal comfort and appearance.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P003,Luxury Silk Robe,5,IN_GSO_01,Thoughtful & Personalized Gifts,0.7,luxury silk robe,A luxury silk robe is a common item purchased as a thoughtful gift.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P004,Leather Toiletry Bag,1,IN_PCH_01,Daily Hygiene & Grooming,1.0,toiletry bag | grooming essentials,A toiletry bag is used to organize items for daily hygiene and grooming.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P004,Leather Toiletry Bag,2,IN_TC_01,Travel Essentials & Efficiency,1.0,travel essentials,The bag is designed to facilitate organized and efficient travel.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P004,Leather Toiletry Bag,3,IN_FA_02,Personal Accessories & Adornment,0.8,leather toiletry bag | organizer,A toiletry bag is a functional personal accessory for organizing items.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P004,Leather Toiletry Bag,4,IN_HOS_01,Efficient Home Organization,0.7,organizer,"The bag serves as an organizer, aligning with efficient storage and decluttering.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P004,Leather Toiletry Bag,5,IN_GSO_01,Thoughtful & Personalized Gifts,0.6,genuine leather,A high-quality leather toiletry bag can be a thoughtful gift.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P005,Commuter Backpack,1,IN_TC_01,Travel Essentials & Efficiency,1.0,commuter backpack,This backpack is designed for daily travel and efficient commuting.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P005,Commuter Backpack,2,IN_PBS_01,Advanced Work & Productivity,0.9,padded laptop compartment,The laptop compartment indicates suitability for professional or advanced study use.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P005,Commuter Backpack,3,IN_OSS_01,Office & School Supplies,0.8,padded laptop compartment,"It is suitable for carrying essential items for office or school, especially a laptop.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P005,Commuter Backpack,4,IN_FA_02,Personal Accessories & Adornment,0.7,backpack,A backpack functions as a practical accessory for carrying personal belongings.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P005,Commuter Backpack,5,IN_CET_01,Electronic Devices & Gadgets,0.6,padded laptop compartment,The padding protects electronic devices like laptops during transport.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P006,Silk Indian Sari,1,IN_FA_01,Apparel & Clothing,1.0,silk indian sari,A sari is a traditional garment and a form of clothing.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P006,Silk Indian Sari,2,IN_FA_02,Personal Accessories & Adornment,0.9,embroidered festive wear,"The sari serves as an adornment, enhancing personal style for special occasions.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P006,Silk Indian Sari,3,IN_GSO_01,Thoughtful & Personalized Gifts,0.7,festive wear for diwali,Traditional festive wear can be a meaningful gift for cultural celebrations.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P006,Silk Indian Sari,4,IN_PEP_01,Event Hosting & Supplies,0.6,festive wear for diwali,It is worn for significant events and celebrations like Diwali.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P006,Silk Indian Sari,5,IN_BG_01,Cosmetics & Personal Style,0.5,traditional embroidered festive wear,The sari contributes to personal style and appearance for special events.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P007,Skeleton Costume Set,1,IN_PEP_01,Event Hosting & Supplies,1.0,costume for parties,This product is specifically designed for use at parties and events.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P007,Skeleton Costume Set,2,IN_FA_01,Apparel & Clothing,0.9,full-body costume,A costume is a specialized form of apparel worn for specific occasions.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P007,Skeleton Costume Set,3,IN_BKE_02,Kids' Play & Development,0.7,costume set,Costumes are often used by children for imaginative play and entertainment.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P007,Skeleton Costume Set,4,IN_GSO_01,Thoughtful & Personalized Gifts,0.6,costume set,A costume can be a fun and unique gift for someone who enjoys dress-up or parties.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P007,Skeleton Costume Set,5,IN_FA_02,Personal Accessories & Adornment,0.5,glow-in-the-dark costume,The costume serves as a distinctive adornment for a specific event or theme.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P008,Kids' Rolling Backpack,1,IN_BKE_02,Kids' Play & Development,1.0,kids' rolling backpack,This product is specifically designed to meet the needs of children.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P008,Kids' Rolling Backpack,2,IN_OSS_01,Office & School Supplies,1.0,for school needs,The backpack is intended for carrying items required for school.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P008,Kids' Rolling Backpack,3,IN_TC_01,Travel Essentials & Efficiency,0.9,rolling backpack,"The rolling feature enhances efficiency for transporting items, similar to travel luggage.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P008,Kids' Rolling Backpack,4,IN_HOS_01,Efficient Home Organization,0.7,bag with wheels,"It helps organize and transport items efficiently, which can aid in home organization.",v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P008,Kids' Rolling Backpack,5,IN_FA_02,Personal Accessories & Adornment,0.6,kids' rolling backpack,A backpack serves as a functional accessory for children to carry their belongings.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P009,Sun Hat (Wide Brim),1,IN_FA_01,Apparel & Clothing,1.0,sun hat (wide brim),A sun hat is a type of clothing accessory.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P009,Sun Hat (Wide Brim),2,IN_ORS_01,Outdoor Gear & Activities,0.9,upf 50+ protection,The hat provides protection for outdoor activities.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
P009,Sun Hat (Wide Brim),3,IN_TC_01,Travel Essentials & Efficiency,0.7,foldable straw hat,Its foldable nature makes it suitable for travel.,v1,run_20260123_013928,gemini-2.5-flash,2026-01-23T01:39:28.622457
